#separator:Comma
#html:true
#notetype:Basic
#guid column:1
#deck column:2
#tags column:6
guid,deck,front,back,source,tags
86f1b3601537956c,PCA::01 Observability Concepts::Labs,lab slo-end-to-end · 99% → ?,"7,2h/30d · 99,9% → 43,2 min · 99,95% → 21,6 min · 99,99% → 4,3 min.<div class=""extra"">Cola completa: 99% → 7,2h/30d · 99,9% → 43,2 min · 99,95% → 21,6 min · 99,99% → 4,3 min.</div>",https://github.com/apolzek/tryharding-certifications/tree/main/PCA/labs/slo-end-to-end/,domain::observability origin::lab lab::slo-end-to-end kind::cola
ed9c928804c3345d,PCA::01 Observability Concepts::Labs,lab slo-end-to-end · Razão de erro: ?,"<code>sum by (job)(rate(bad[w])) / sum by (job)(rate(total[w]))</code> em recording rules <code>job:slo_errors_per_request:ratio_rate&lt;w&gt;</code>.<div class=""extra"">Cola completa: Razão de erro: <code>sum by (job)(rate(bad[w])) / sum by (job)(rate(total[w]))</code> em recording rules <code>job:slo_errors_per_request:ratio_rate&lt;w&gt;</code>.</div>",https://github.com/apolzek/tryharding-certifications/tree/main/PCA/labs/slo-end-to-end/,domain::observability origin::lab lab::slo-end-to-end kind::cola
2512d87445e2fafb,PCA::01 Observability Concepts::Labs,lab slo-end-to-end · Burn rate = ?,"razão / budget. Gasto = burn × janela / período. Tempo até zerar = período / burn.<div class=""extra"">Cola completa: Burn rate = razão / budget. Gasto = burn × janela / período. Tempo até zerar = período / burn.</div>",https://github.com/apolzek/tryharding-certifications/tree/main/PCA/labs/slo-end-to-end/,domain::observability origin::lab lab::slo-end-to-end kind::cola
57bf9853ca302264,PCA::01 Observability Concepts::Labs,"lab slo-end-to-end · Workbook (30d): <span class=""cloze"">[…]</span> · <span class=""cloze"">[…]</span> · <span class=""cloze"">[…]</span> · <span class=""cloze"">[…]</span>. Janela curta = longa/12.","lab slo-end-to-end · Workbook (30d): <span class=""cloze-a"">14,4x 1h&amp;5m page</span> · <span class=""cloze-a"">6x 6h&amp;30m page</span> · <span class=""cloze-a"">3x 1d&amp;2h ticket</span> · <span class=""cloze-a"">1x 3d&amp;6h ticket</span>. Janela curta = longa/12.",https://github.com/apolzek/tryharding-certifications/tree/main/PCA/labs/slo-end-to-end/,domain::observability origin::lab lab::slo-end-to-end kind::cola
4b0b814bd026e5ab,PCA::01 Observability Concepts::Labs,lab slo-end-to-end · Latência: ?,"<code>rate(x_bucket{le=""0.3""}) / rate(x_count)</code> ou <code>histogram_fraction(0, 0.3, ...)</code>. Precisa de bucket no limiar.<div class=""extra"">Cola completa: Latência: <code>rate(x_bucket{le=""0.3""}) / rate(x_count)</code> ou <code>histogram_fraction(0, 0.3, ...)</code>. Precisa de bucket no limiar.</div>",https://github.com/apolzek/tryharding-certifications/tree/main/PCA/labs/slo-end-to-end/,domain::observability origin::lab lab::slo-end-to-end kind::cola
0f3ea193f357ba89,PCA::01 Observability Concepts::Labs,lab slo-end-to-end · Estados: inactive → ?,"pending (<code>for</code>) → firing. <code>ALERTS{alertname, alertstate}</code>. Teste com <code>promtool test rules</code>.<div class=""extra"">Cola completa: Estados: inactive → pending (<code>for</code>) → firing. <code>ALERTS{alertname, alertstate}</code>. Teste com <code>promtool test rules</code>.</div>",https://github.com/apolzek/tryharding-certifications/tree/main/PCA/labs/slo-end-to-end/,domain::observability origin::lab lab::slo-end-to-end kind::cola
342514dcba339cb9,PCA::01 Observability Concepts::Labs,lab slo-end-to-end · Ferramentas que geram tudo isso: ?,"Sloth, Pyrra, OpenSLO, Grafana SLO.<div class=""extra"">Cola completa: Ferramentas que geram tudo isso: Sloth, Pyrra, OpenSLO, Grafana SLO.</div>",https://github.com/apolzek/tryharding-certifications/tree/main/PCA/labs/slo-end-to-end/,domain::observability origin::lab lab::slo-end-to-end kind::cola
2c8d8b065e7b7279,PCA::01 Observability Concepts::Labs,⚠️ lab slo-end-to-end: pegadinha «SLO de 100% não existe». O que acontece / por quê?,"Budget zero = qualquer deploy é violação. E o usuário não percebe a diferença entre 99,99% e 100% (a rede dele falha mais que isso).<div class=""extra"">Cola completa: <b>SLO de 100% não existe.</b> Budget zero = qualquer deploy é violação. E o usuário não percebe a diferença entre 99,99% e 100% (a rede dele falha mais que isso).</div>",https://github.com/apolzek/tryharding-certifications/tree/main/PCA/labs/slo-end-to-end/,domain::observability origin::lab lab::slo-end-to-end kind::pegadinha
1bc4e88d26baf24e,PCA::01 Observability Concepts::Labs,⚠️ lab slo-end-to-end: pegadinha «SLA ≠ SLO». O que acontece / por quê?,"SLA tem consequência contratual e é mais frouxo. O SLO é interno e mais apertado, para você agir antes do SLA.<div class=""extra"">Cola completa: <b>SLA ≠ SLO.</b> SLA tem consequência contratual e é mais frouxo. O SLO é interno e mais apertado, para você agir antes do SLA.</div>",https://github.com/apolzek/tryharding-certifications/tree/main/PCA/labs/slo-end-to-end/,domain::observability origin::lab lab::slo-end-to-end kind::pegadinha
fdb553b1a4f013fd,PCA::01 Observability Concepts::Labs,⚠️ lab slo-end-to-end: pegadinha «Série de erro inexistente». O que acontece / por quê?,"Se <code>http_requests_total{code=""500""}</code> só aparece no primeiro erro, a razão fica <b>vazia</b> (não 0) e o alerta nunca avalia. Inicialize os labels com 0 (o app deste lab faz <code>WithLabelValues(""…"",""500"")</code> no início).<div class=""extra"">Cola completa: <b>Série de erro inexistente.</b> Se <code>http_requests_total{code=""500""}</code> só aparece no primeiro erro, a razão fica <b>vazia</b> (não 0) e o alerta nunca avalia. Inicialize os labels com 0 (o app deste lab faz <code>WithLabelValues(""…"",""500"")</code> no início).</div>",https://github.com/apolzek/tryharding-certifications/tree/main/PCA/labs/slo-end-to-end/,domain::observability origin::lab lab::slo-end-to-end kind::pegadinha
6488fe54344881f6,PCA::01 Observability Concepts::Labs,⚠️ lab slo-end-to-end: pegadinha «Média de razões ≠ razão de somas». O que acontece / por quê?,"<code>avg_over_time(ratio_rate5m[30d])</code> dá peso igual à madrugada e ao pico. Use <code>sum(rate(bad[30d])) / sum(rate(total[30d]))</code>.<div class=""extra"">Cola completa: <b>Média de razões ≠ razão de somas.</b> <code>avg_over_time(ratio_rate5m[30d])</code> dá peso igual à madrugada e ao pico. Use <code>sum(rate(bad[30d])) / sum(rate(total[30d]))</code>.</div>",https://github.com/apolzek/tryharding-certifications/tree/main/PCA/labs/slo-end-to-end/,domain::observability origin::lab lab::slo-end-to-end kind::pegadinha
ed3c2aac501c072f,PCA::01 Observability Concepts::Labs,⚠️ lab slo-end-to-end: pegadinha «4xx conta?». O que acontece / por quê?,"Normalmente não (erro do cliente). Mas <code>429</code> por <i>rate limiting</i> seu talvez conte. Decida e documente.<div class=""extra"">Cola completa: <b>4xx conta?</b> Normalmente não (erro do cliente). Mas <code>429</code> por <i>rate limiting</i> seu talvez conte. Decida e documente.</div>",https://github.com/apolzek/tryharding-certifications/tree/main/PCA/labs/slo-end-to-end/,domain::observability origin::lab lab::slo-end-to-end kind::pegadinha
4c264db58ac7e798,PCA::01 Observability Concepts::Labs,⚠️ lab slo-end-to-end: pegadinha «Sem tráfego = sem SLI». O que acontece / por quê?,"Serviço fora do ar que não recebe requisição nenhuma tem razão de erro <b>vazia</b>, e os alertas de burn rate ficam quietos. Complemente com <code>absent()</code>/<code>up == 0</code> ou SLI via blackbox (sondas sintéticas).<div class=""extra"">Cola completa: <b>Sem tráfego = sem SLI.</b> Serviço fora do ar que não recebe requisição nenhuma tem razão de erro <b>vazia</b>, e os alertas de burn rate ficam quietos. Complemente com <code>absent()</code>/<code>up == 0</code> ou SLI via blackbox (sondas sintéticas).</div>",https://github.com/apolzek/tryharding-certifications/tree/main/PCA/labs/slo-end-to-end/,domain::observability origin::lab lab::slo-end-to-end kind::pegadinha
fc68c3a7c4e6650f,PCA::01 Observability Concepts::Labs,⚠️ lab slo-end-to-end: pegadinha «Bucket no limiar». O que acontece / por quê?,"O SLO de latência por razão de buckets só é exato se existir <code>le</code> <b>exatamente</b> no limiar (aqui, <code>0.3</code>). Mudou o SLO para 250ms e não tem bucket? Estimativa (ou native histograms).<div class=""extra"">Cola completa: <b>Bucket no limiar.</b> O SLO de latência por razão de buckets só é exato se existir <code>le</code> <b>exatamente</b> no limiar (aqui, <code>0.3</code>). Mudou o SLO para 250ms e não tem bucket? Estimativa (ou native histograms).</div>",https://github.com/apolzek/tryharding-certifications/tree/main/PCA/labs/slo-end-to-end/,domain::observability origin::lab lab::slo-end-to-end kind::pegadinha
667f552a271ffb73,PCA::01 Observability Concepts::Labs,⚠️ lab slo-end-to-end: pegadinha «Percentil não é SLI». O que acontece / por quê?,"<code>histogram_quantile(0.99, …) &lt; 0.3</code> responde sim/não por janela; não conta eventos e não gera budget.<div class=""extra"">Cola completa: <b>Percentil não é SLI.</b> <code>histogram_quantile(0.99, …) &lt; 0.3</code> responde sim/não por janela; não conta eventos e não gera budget.</div>",https://github.com/apolzek/tryharding-certifications/tree/main/PCA/labs/slo-end-to-end/,domain::observability origin::lab lab::slo-end-to-end kind::pegadinha
cb7c06dbf125d211,PCA::01 Observability Concepts::Labs,⚠️ lab slo-end-to-end: pegadinha «Janela curta sozinha = barulho; janela longa sozinha = alerta que não para». O que acontece / por quê?,"Por isso o <code>and</code> das duas.<div class=""extra"">Cola completa: <b>Janela curta sozinha = barulho; janela longa sozinha = alerta que não para.</b> Por isso o <code>and</code> das duas.</div>",https://github.com/apolzek/tryharding-certifications/tree/main/PCA/labs/slo-end-to-end/,domain::observability origin::lab lab::slo-end-to-end kind::pegadinha
786375e7ee121b26,PCA::01 Observability Concepts::Labs,⚠️ lab slo-end-to-end: pegadinha «Burn rates dependem do período do SLO». O que acontece / por quê?,"14,4 vem de ""2% de 30 dias em 1h"". Para um SLO de 7 dias, recalcule (<code>0,02 × 168h / 1h = 3,36</code>).<div class=""extra"">Cola completa: <b>Burn rates dependem do período do SLO.</b> 14,4 vem de ""2% de 30 dias em 1h"". Para um SLO de 7 dias, recalcule (<code>0,02 × 168h / 1h = 3,36</code>).</div>",https://github.com/apolzek/tryharding-certifications/tree/main/PCA/labs/slo-end-to-end/,domain::observability origin::lab lab::slo-end-to-end kind::pegadinha
cf0ea1c69c464d0a,PCA::02 Prometheus Fundamentals::Curadas,Quais são os componentes internos de um servidor Prometheus?,<ul><li><b>Retrieval</b>: service discovery + scrape</li><li><b>TSDB</b> local</li><li><b>PromQL engine</b> + HTTP API/UI (<code>:9090</code>)</li><li><b>Rule manager</b>: recording/alerting rules; envia alertas ao Alertmanager</li></ul>,,domain::fundamentals origin::curated curated
4dc6338b7baa1700,PCA::02 Prometheus Fundamentals::Curadas,Qual é o modelo de coleta padrão do Prometheus?,<b>Pull</b>: HTTP GET em <code>/metrics</code> de cada target. Push só como exceção: Pushgateway (e receivers de remote write/OTLP).,,domain::fundamentals origin::curated curated
4d3aca611e8f3bce,PCA::02 Prometheus Fundamentals::Curadas,"Defaults do <code>global</code>: scrape_interval <span class=""cloze"">[…]</span>, scrape_timeout <span class=""cloze"">[…]</span>, evaluation_interval <span class=""cloze"">[…]</span>.","Defaults do <code>global</code>: scrape_interval <span class=""cloze-a"">1m</span>, scrape_timeout <span class=""cloze-a"">10s</span>, evaluation_interval <span class=""cloze-a"">1m</span>.",https://prometheus.io/docs/prometheus/latest/configuration/configuration/,domain::fundamentals origin::curated curated
f711aee1333606b7,PCA::02 Prometheus Fundamentals::Curadas,Quais labels todo target recebe automaticamente?,<code>job</code> (vem do <code>job_name</code>) e <code>instance</code> (vem do <code>__address__</code> após o relabeling).,,domain::fundamentals origin::curated curated
8d217b80c2870636,PCA::02 Prometheus Fundamentals::Curadas,Quais séries o Prometheus gera sozinho a cada scrape?,"<code>up</code> (1 = scrape ok, 0 = falhou), <code>scrape_duration_seconds</code>, <code>scrape_samples_scraped</code>, <code>scrape_samples_post_metric_relabeling</code>, <code>scrape_series_added</code>.",,domain::fundamentals origin::curated curated
b5ace3e8949a7eb5,PCA::02 Prometheus Fundamentals::Curadas,Seções de topo do <code>prometheus.yml</code>?,"<code>global</code>, <code>rule_files</code>, <code>scrape_configs</code>, <code>alerting</code>, <code>remote_write</code>, <code>remote_read</code> (além de <code>storage</code>, <code>tracing</code>, <code>scrape_config_files</code>...).",,domain::fundamentals origin::curated curated
e3ea76ceb7644099,PCA::02 Prometheus Fundamentals::Curadas,Como recarregar a configuração sem reiniciar o Prometheus?,"<code>kill -HUP &lt;pid&gt;</code> ou <code>curl -X POST :9090/-/reload</code> (exige <code>--web.enable-lifecycle</code>). Se a nova config for inválida, a antiga continua valendo.",,domain::fundamentals origin::curated curated
0df145e16548af80,PCA::02 Prometheus Fundamentals::Curadas,Como validar configuração e regras antes de aplicar?,<code>promtool check config prometheus.yml</code> (valida também os rule_files referenciados) e <code>promtool check rules rules.yml</code>.,https://github.com/apolzek/tryharding-certifications/tree/main/PCA/labs/recording-rules-testing/,domain::fundamentals origin::curated curated
15d98db318d0a32a,PCA::02 Prometheus Fundamentals::Curadas,<code>relabel_configs</code> vs <code>metric_relabel_configs</code>?,"<ul><li><code>relabel_configs</code>: <b>antes</b> do scrape, sobre o <b>target</b> (<code>__meta_*</code>, <code>__address__</code>). Decide o quê/como raspar.</li><li><code>metric_relabel_configs</code>: <b>depois</b> do scrape, sobre cada <b>amostra</b>, antes de gravar. Serve para descartar métricas/labels caros.</li></ul>",https://github.com/apolzek/tryharding-certifications/tree/main/PCA/labs/service-discovery-relabeling/,domain::fundamentals origin::curated curated
b12c5c13c3cc94e4,PCA::02 Prometheus Fundamentals::Curadas,Quais são as <code>action</code>s de relabeling?,"<code>replace</code> (padrão), <code>keep</code>, <code>drop</code>, <code>keepequal</code>, <code>dropequal</code>, <code>hashmod</code>, <code>labelmap</code>, <code>labeldrop</code>, <code>labelkeep</code>, <code>lowercase</code>, <code>uppercase</code>.",https://github.com/apolzek/tryharding-certifications/tree/main/PCA/labs/service-discovery-relabeling/,domain::fundamentals origin::curated curated
000ec875f32bcb06,PCA::02 Prometheus Fundamentals::Curadas,"Defaults de uma regra de relabel: regex <span class=""cloze"">[…]</span>, separator <span class=""cloze"">[…]</span>, replacement <span class=""cloze"">[…]</span>, action <span class=""cloze"">[…]</span>.","Defaults de uma regra de relabel: regex <span class=""cloze-a""><code>(.*)</code></span>, separator <span class=""cloze-a""><code>;</code></span>, replacement <span class=""cloze-a""><code>$1</code></span>, action <span class=""cloze-a""><code>replace</code></span>.",https://github.com/apolzek/tryharding-certifications/tree/main/PCA/labs/service-discovery-relabeling/,domain::fundamentals origin::curated curated
5d9f9f91507bbf36,PCA::02 Prometheus Fundamentals::Curadas,O que acontece com labels que começam com <code>__</code> depois do relabeling?,"São <b>removidos</b> do target (os <code>__meta_*</code> só existem durante o relabeling). Para labels temporários, use o prefixo <code>__tmp</code>.",https://github.com/apolzek/tryharding-certifications/tree/main/PCA/labs/service-discovery-relabeling/,domain::fundamentals origin::curated curated
0bc9fbe9a5ba200d,PCA::02 Prometheus Fundamentals::Curadas,Quais labels especiais controlam <b>como</b> um target é raspado?,"<code>__address__</code> (host:porta), <code>__scheme__</code> (http/https), <code>__metrics_path__</code> (padrão <code>/metrics</code>), <code>__param_&lt;nome&gt;</code> (query string), <code>__scrape_interval__</code>, <code>__scrape_timeout__</code>.",https://github.com/apolzek/tryharding-certifications/tree/main/PCA/labs/service-discovery-relabeling/,domain::fundamentals origin::curated curated
b7b5688ee6e60a94,PCA::02 Prometheus Fundamentals::Curadas,O que faz <code>honor_labels: true</code>?,"Em conflito de labels, <b>mantém os do target</b>. Com <code>false</code> (padrão), os do target são renomeados para <code>exported_&lt;label&gt;</code>. Usado em <b>federation</b> e <b>Pushgateway</b>.",,domain::fundamentals origin::curated curated
eef76864a28485b1,PCA::02 Prometheus Fundamentals::Curadas,Cite mecanismos de service discovery.,"<code>static_configs</code>, <code>file_sd_configs</code> (JSON/YAML, recarregado quando muda), <code>kubernetes_sd_configs</code>, <code>consul_sd_configs</code>, <code>ec2_sd_configs</code>, <code>dns_sd_configs</code>, <code>http_sd_configs</code>...",https://github.com/apolzek/tryharding-certifications/tree/main/PCA/labs/service-discovery-relabeling/,domain::fundamentals origin::curated curated
cb863a40699ad5b4,PCA::02 Prometheus Fundamentals::Curadas,Quais são os <code>role</code>s do <code>kubernetes_sd_configs</code>?,"<code>node</code>, <code>pod</code>, <code>service</code>, <code>endpoints</code>, <code>endpointslice</code>, <code>ingress</code>.",https://github.com/apolzek/tryharding-certifications/tree/main/PCA/labs/service-discovery-relabeling/,domain::fundamentals origin::curated curated
e74cf6085e5d5d69,PCA::02 Prometheus Fundamentals::Curadas,"Como raspar só os pods com a annotation <code>prometheus.io/scrape: ""true""</code>?","<pre><code>relabel_configs:
  - source_labels: [__meta_kubernetes_pod_annotation_prometheus_io_scrape]
    regex: ""true""
    action: keep</code></pre>",https://github.com/apolzek/tryharding-certifications/tree/main/PCA/labs/service-discovery-relabeling/,domain::fundamentals origin::curated curated
7fbb8f089790fec0,PCA::02 Prometheus Fundamentals::Curadas,"Retenção padrão da TSDB: <span class=""cloze"">[…]</span>. Flags: <code>--storage.tsdb.retention.<span class=""cloze"">[…]</span></code> e <code>--storage.tsdb.retention.<span class=""cloze"">[…]</span></code> (vale o que estourar primeiro).","Retenção padrão da TSDB: <span class=""cloze-a"">15d</span>. Flags: <code>--storage.tsdb.retention.<span class=""cloze-a"">time</span></code> e <code>--storage.tsdb.retention.<span class=""cloze-a"">size</span></code> (vale o que estourar primeiro).",https://github.com/apolzek/tryharding-certifications/tree/main/PCA/labs/tsdb-storage/,domain::fundamentals origin::curated curated
0b6a28546e23ff7d,PCA::02 Prometheus Fundamentals::Curadas,Como a TSDB organiza os dados?,"<ul><li><b>Head block</b> em memória (amostras recentes), protegido pelo <b>WAL</b> em disco</li><li>A cada ~<b>2 h</b> vira um <b>bloco</b> imutável em disco (<code>chunks/</code>, <code>index</code>, <code>meta.json</code>, <code>tombstones</code>)</li><li><b>Compaction</b> junta blocos em blocos maiores</li></ul>",https://github.com/apolzek/tryharding-certifications/tree/main/PCA/labs/tsdb-storage/,domain::fundamentals origin::curated curated
